"matchday","H","A","Tore_H","Tore_A","prob_home_win","prob_draw","prob_away_win"
17,"SV Empor Berlin II","FC Viktoria 1889 Berlin II",4,3,NA,NA,NA
17,"FSV Berolina Stralau 1901","Berliner SC II",3,1,NA,NA,NA
17,"BFC Meteor 06","Berliner SV 1892",3,1,NA,NA,NA
17,"VfB Concordia Britz 1916","FC Internationale Berlin 1980",2,0,NA,NA,NA
17,"BFC Preussen II","Türkiyemspor Berlin",5,4,NA,NA,NA
17,"Köpenicker FC","BSV Al-Dersimspor",5,1,NA,NA,NA
17,"BSV Eintracht Mahlsdorf II","TSV Rudow Berlin",0,2,NA,NA,NA
17,"SV Stern Britz 1889","SC Borsigwalde 1910",1,7,NA,NA,NA
17,"FC Viktoria 1889 Berlin II","SV Empor Berlin II",3,4,NA,NA,NA
17,"Berliner SC II","FSV Berolina Stralau 1901",1,3,NA,NA,NA
17,"Berliner SV 1892","BFC Meteor 06",1,3,NA,NA,NA
17,"FC Internationale Berlin 1980","VfB Concordia Britz 1916",0,2,NA,NA,NA
17,"Türkiyemspor Berlin","BFC Preussen II",4,5,NA,NA,NA
17,"BSV Al-Dersimspor","Köpenicker FC",1,5,NA,NA,NA
18,"TSV Rudow Berlin","BFC Preussen II",1,0,NA,NA,NA
18,"FC Internationale Berlin 1980","SV Empor Berlin II",6,2,NA,NA,NA
18,"Berliner SC II","BFC Meteor 06",0,4,NA,NA,NA
18,"Türkiyemspor Berlin","Köpenicker FC",0,1,NA,NA,NA
18,"SV Stern Britz 1889","BSV Eintracht Mahlsdorf II",1,2,NA,NA,NA
18,"FC Viktoria 1889 Berlin II","SC Borsigwalde 1910",7,1,NA,NA,NA
18,"Berliner SV 1892","VfB Concordia Britz 1916",2,0,NA,NA,NA
18,"BSV Al-Dersimspor","FSV Berolina Stralau 1901",2,2,NA,NA,NA
18,"BFC Preussen II","TSV Rudow Berlin",0,1,NA,NA,NA
18,"SV Empor Berlin II","FC Internationale Berlin 1980",2,6,NA,NA,NA
18,"BFC Meteor 06","Berliner SC II",4,0,NA,NA,NA
18,"Köpenicker FC","Türkiyemspor Berlin",1,0,NA,NA,NA
18,"BSV Eintracht Mahlsdorf II","SV Stern Britz 1889",2,1,NA,NA,NA
18,"SC Borsigwalde 1910","FC Viktoria 1889 Berlin II",1,7,NA,NA,NA
18,"VfB Concordia Britz 1916","Berliner SV 1892",0,2,NA,NA,NA
18,"FSV Berolina Stralau 1901","BSV Al-Dersimspor",2,2,NA,NA,NA
19,"BFC Meteor 06","BSV Al-Dersimspor",9,1,NA,NA,NA
19,"BFC Preussen II","SV Stern Britz 1889",2,1,NA,NA,NA
19,"Köpenicker FC","TSV Rudow Berlin",2,3,NA,NA,NA
19,"FC Internationale Berlin 1980","FC Viktoria 1889 Berlin II",0,2,NA,NA,NA
19,"VfB Concordia Britz 1916","Berliner SC II",2,3,NA,NA,NA
19,"SV Empor Berlin II","Berliner SV 1892",1,3,NA,NA,NA
19,"BSV Eintracht Mahlsdorf II","SC Borsigwalde 1910",3,3,NA,NA,NA
19,"FSV Berolina Stralau 1901","Türkiyemspor Berlin",3,2,NA,NA,NA
19,"BSV Al-Dersimspor","BFC Meteor 06",1,9,NA,NA,NA
19,"SV Stern Britz 1889","BFC Preussen II",1,2,NA,NA,NA
19,"TSV Rudow Berlin","Köpenicker FC",3,2,NA,NA,NA
19,"FC Viktoria 1889 Berlin II","FC Internationale Berlin 1980",2,0,NA,NA,NA
19,"Berliner SC II","VfB Concordia Britz 1916",3,2,NA,NA,NA
19,"Berliner SV 1892","SV Empor Berlin II",3,1,NA,NA,NA
19,"SC Borsigwalde 1910","BSV Eintracht Mahlsdorf II",3,3,NA,NA,NA
19,"Türkiyemspor Berlin","FSV Berolina Stralau 1901",2,3,NA,NA,NA
20,"BFC Meteor 06","TSV Rudow Berlin",2,2,NA,NA,NA
20,"FSV Berolina Stralau 1901","SV Stern Britz 1889",2,1,NA,NA,NA
20,"Berliner SV 1892","FC Viktoria 1889 Berlin II",1,3,NA,NA,NA
20,"BFC Preussen II","BSV Eintracht Mahlsdorf II",3,1,NA,NA,NA
20,"FC Internationale Berlin 1980","Berliner SC II",3,1,NA,NA,NA
20,"Köpenicker FC","SC Borsigwalde 1910",1,2,NA,NA,NA
20,"VfB Concordia Britz 1916","Türkiyemspor Berlin",2,0,NA,NA,NA
20,"SV Empor Berlin II","BSV Al-Dersimspor",2,3,NA,NA,NA
20,"TSV Rudow Berlin","BFC Meteor 06",2,2,NA,NA,NA
20,"SV Stern Britz 1889","FSV Berolina Stralau 1901",1,2,NA,NA,NA
20,"FC Viktoria 1889 Berlin II","Berliner SV 1892",3,1,NA,NA,NA
20,"BSV Eintracht Mahlsdorf II","BFC Preussen II",1,3,NA,NA,NA
20,"Berliner SC II","FC Internationale Berlin 1980",1,3,NA,NA,NA
20,"SC Borsigwalde 1910","Köpenicker FC",2,1,NA,NA,NA
20,"Türkiyemspor Berlin","VfB Concordia Britz 1916",0,2,NA,NA,NA
20,"BSV Al-Dersimspor","SV Empor Berlin II",3,2,NA,NA,NA
21,"BSV Al-Dersimspor","FC Internationale Berlin 1980",3,2,NA,NA,NA
21,"FC Viktoria 1889 Berlin II","BFC Preussen II",1,3,NA,NA,NA
21,"SV Stern Britz 1889","BFC Meteor 06",2,5,NA,NA,NA
21,"BSV Eintracht Mahlsdorf II","Köpenicker FC",2,6,NA,NA,NA
21,"Türkiyemspor Berlin","SV Empor Berlin II",2,1,NA,NA,NA
21,"Berliner SC II","Berliner SV 1892",1,3,NA,NA,NA
21,"TSV Rudow Berlin","VfB Concordia Britz 1916",2,0,NA,NA,NA
21,"SC Borsigwalde 1910","FSV Berolina Stralau 1901",6,3,NA,NA,NA
21,"FC Internationale Berlin 1980","BSV Al-Dersimspor",2,3,NA,NA,NA
21,"BFC Preussen II","FC Viktoria 1889 Berlin II",3,1,NA,NA,NA
21,"BFC Meteor 06","SV Stern Britz 1889",5,2,NA,NA,NA
21,"Köpenicker FC","BSV Eintracht Mahlsdorf II",6,2,NA,NA,NA
21,"SV Empor Berlin II","Türkiyemspor Berlin",1,2,NA,NA,NA
21,"Berliner SV 1892","Berliner SC II",3,1,NA,NA,NA
21,"VfB Concordia Britz 1916","TSV Rudow Berlin",0,2,NA,NA,NA
21,"FSV Berolina Stralau 1901","SC Borsigwalde 1910",3,6,NA,NA,NA
22,"FC Viktoria 1889 Berlin II","TSV Rudow Berlin",5,3,NA,NA,NA
