Rank,Team,Name,Nr,Pos,Spiele,Tore
355,Köpenicker FC,Rayk Stahnke,26,NA,3,0
356,VfB Concordia Britz 1916,Deniz Gassen,10,ZM,8,0
357,BFC Meteor 06,Julius Böke,NA,NA,0,0
358,FC Internationale Berlin 1980,Thomaz Klingl,10,ST,1,0
359,Berliner SV 1892,Soner Gültepe,26,NA,6,0
360,SV Empor Berlin II,Falk Marquard,NA,ZM,1,0
361,SC Borsigwalde 1910,Cengiz Devecioglu,NA,NA,0,0
362,FSV Berolina Stralau 1901,Lucas Hufnagel,NA,NA,1,0
363,Türkiyemspor Berlin,Oguzhan Codura,10,ST,5,0
364,SC Borsigwalde 1910,Firat Yildirim,15,ZDM,7,0
365,FC Internationale Berlin 1980,Stefan Nicola,NA,NA,0,0
366,Türkiyemspor Berlin,Florian Nikolai Thalhofer,17,RV,8,0
367,BSV Eintracht Mahlsdorf II,Marius Schreiber,8,LV,1,0
368,VfB Concordia Britz 1916,Malte Meißner,33,TW,9,0
369,SC Borsigwalde 1910,Khaled El-Okkla,27,IV,13,0
370,SV Stern Britz 1889,Tommes Diallo,2,ZM,6,0
371,BFC Meteor 06,Marcos Terzopulos-Koutsoubas,5,RV,3,0
372,Berliner SC II,Stefan Glaser,9,ST,14,0
373,SC Borsigwalde 1910,David Chukwu,NA,LV,4,0
374,FC Internationale Berlin 1980,Moreno Schneider,19,RM,9,0
375,FSV Berolina Stralau 1901,Leeroy-Life Leffke,13,NA,8,0
376,Türkiyemspor Berlin,Ferhat Ömür,68,NA,0,0
377,VfB Concordia Britz 1916,Nico Hasenbank,NA,ZM,2,0
378,VfB Concordia Britz 1916,Benedikt Schmidtmann,23,LV,13,0
379,FC Viktoria 1889 Berlin II,Marvin Knape,20,RV,3,0
380,Köpenicker FC,Luca Carius,6,IV,14,0
381,BFC Preussen II,Meiko Hesse,6,ZDM,13,0
382,BSV Eintracht Mahlsdorf II,Julian Bufe,NA,NA,0,0
383,Köpenicker FC,Tom Rostock,NA,RM,3,0
384,BSV Eintracht Mahlsdorf II,Oliver Spigaht,6,RM,8,0
385,FC Viktoria 1889 Berlin II,Jeremy Herrmann,26,ZDM,13,0
386,FC Viktoria 1889 Berlin II,Lukas-Noah Littler,2,IV,8,0
387,FC Viktoria 1889 Berlin II,Mirko Wach,NA,NA,0,0
388,Berliner SC II,Bryan Lilja,18,LM,2,0
389,Türkiyemspor Berlin,Kenan Özen,6,ZDM,10,0
390,BFC Preussen II,Guilherme Henrique Lopes De Oliveira,NA,NA,0,0
391,FSV Berolina Stralau 1901,Milan Stricker,NA,ST,4,0
392,FSV Berolina Stralau 1901,Georg Schönfelder,3,IV,13,0
393,FC Viktoria 1889 Berlin II,Chae-Hyun Jeong,11,RM,11,0
394,BSV Eintracht Mahlsdorf II,Marvin Müller,NA,ZDM,1,0
395,Köpenicker FC,Anton Neumann,14,ZM,10,0
396,VfB Concordia Britz 1916,Aykut Tezel,NA,NA,0,0
397,BSV Al-Dersimspor,Zana-Kazim Baba,NA,ST,1,0
398,Türkiyemspor Berlin,Tolgahan Can Eskin,21,LM,5,0
399,TSV Rudow Berlin,Jonas Becker,3,IV,13,0
400,Türkiyemspor Berlin,Tamer Emre Ertürkler,17,ST,8,0
401,Berliner SC II,Jesse Kreuschner,31,TW,5,0
402,Köpenicker FC,Tim Höfer,NA,TW,1,0
403,Berliner SC II,Luca Raoul Al-Habash,NA,RM,1,0
404,FSV Berolina Stralau 1901,Ali Esweiei,NA,NA,1,0
405,Berliner SV 1892,Chidera Iwuozor,6,LM,6,0
406,Berliner SC II,Erhan Kücükosman,10,RM,9,0
407,SV Stern Britz 1889,Stephane Franklin Yoko,12,NA,1,0
