Spieltag,Team,Gegner,Tore,Gegentore,Wo,Platz,Kader,Formation,Wechsel
6,Türkiyemspor Berlin,VfB Concordia Britz 1916,6,1,home,NR,"Kösker – Thalhofer (72. Faramarzi), Karakus, Yilmas (56. Demir), Yoldas Emre (46. Özen) – Tanis, Simunovic – Uzun, Saberdest (72. Celik), Jalloh (72. El-Ali) – Codura",4-2-3-1,5
6,BSV Al-Dersimspor,SV Empor Berlin II,3,3,home,S,"Boel – Kahramann (67. Uchaglar), Zagmouz, Kalkan (48. Diokhane), Schäfer (74. Önal) – Tonk – Awag, Savkovic (67. Krasniqi), Polat, Pereira Dos Santos (62. Essel) – Chawraba",4-1-4-1,5
6,BFC Meteor 06,TSV Rudow Berlin,0,1,away,L,"Suilmann – Adigüzel, Karasu, Nerlich, Schröder (45. Jüterbock) – Saunders, Taflaj (58. Dähn), Ugur (72. Hamiss), Zahlan (87. Balde) – Heimur (45. Mustapha), Böhm",4-4-2,5
6,FSV Berolina Stralau 1901,SV Stern Britz 1889,1,2,away,L,"Pothoff– Schönfelder, Häberle (63. Läke), Nikolajewski – Saiti (79. Rolke), Jonach, Maiß, Jradi (79. Heßler) – Guillen (82. Adler), Diallo (46. Stier), Villanueva Bravo",3-4-3,5
6,Berliner SV 1892,FC Viktoria 1889 Berlin II,2,4,away,S,"Lüttschwager – Anker (45. Özsoy), Tedesco, Jost – Paschke (54. Zauner), Charkov, Molalegn (45. Fischer), Iwuozor (54. Busche) – Sobczyk, Schleifenbaum, Bechler (74. Gültepe)",3-4-3,5
6,BFC Preussen II,BSV Eintracht Mahlsdorf II,2,3,away,M,"Hartmann – Gajda (56. Özcan), Stahlberg, Kohlmann, Engelsing – Gashi, Demir (33. Schatz), Nnaemeka-Chukwurah, Fikic – Yilmaz – Timur (20. Kagoue)",4-4-1-1,3
6,FC Internationale Berlin 1980,Berliner SC II,1,1,away,NR,"Del Fierro – Marigo, Castro Barbera (66. Schindler), Costa Echeverra, Kranz – Freitag (72. Avendano Leon), Schneider – Daus (53. Topal), Stanley, French (81. Bratschke) – Bauder (46. Bullock)",4-2-3-1,5
6,Köpenicker FC,SC Borsigwalde 1910,2,2,away,S,"Thiemann – Dietrich (61. Hamann), Weigelt, Carius, Ondo Mangue – Laske (46. Munsky), Neumann, Hartmann (86. Nischwitz), Borchmeier (56. Wittenburg) – Foth (76. Brandt), Bohnsack",4-4-2,5
6,VfB Concordia Britz 1916,Türkiyemspor Berlin,1,6,away,NR,"Ketel – Schmidtmann, Köse (71. Gassen), Auctun, Wenke – Weglöhner, Jerry Gase (64. Souza Rosa), Jordy Gase (46. Da-Costa), Lozenskyy, Wieser – Bruns",4-5-1,3
6,SV Empor Berlin II,BSV Al-Dersimspor,3,3,away,S,"Yusuff – Seiler, Schneidawind, Ortmann (69. Savenko) – Bräkow, Udo,Cerny (48. Mentrup), Wessel – Mendy, Braun, Stolp",3-4-3,2
