matchday,H,A,Tore_H,Tore_A,where
24,TSV Rudow Berlin,SV Empor Berlin II,4,0,away
24,FC Viktoria 1889 Berlin II,Berliner SC II,0,2,away
24,BSV Eintracht Mahlsdorf II,FSV Berolina Stralau 1901,1,4,away
24,Türkiyemspor Berlin,FC Internationale Berlin 1980,1,2,away
24,BSV Al-Dersimspor,Berliner SV 1892,1,7,away
25,SV Stern Britz 1889,Köpenicker FC,0,10,home
25,SC Borsigwalde 1910,BFC Preussen II,2,2,home
25,Türkiyemspor Berlin,BFC Meteor 06,0,1,home
25,Berliner SC II,SV Empor Berlin II,0,4,home
25,FC Viktoria 1889 Berlin II,BSV Eintracht Mahlsdorf II,5,1,home
25,BSV Al-Dersimspor,VfB Concordia Britz 1916,3,0,home
25,Berliner SV 1892,FC Internationale Berlin 1980,2,1,home
25,TSV Rudow Berlin,FSV Berolina Stralau 1901,5,0,home
25,Köpenicker FC,SV Stern Britz 1889,10,0,away
25,BFC Preussen II,SC Borsigwalde 1910,2,2,away
25,BFC Meteor 06,Türkiyemspor Berlin,1,0,away
25,SV Empor Berlin II,Berliner SC II,4,0,away
25,BSV Eintracht Mahlsdorf II,FC Viktoria 1889 Berlin II,1,5,away
25,VfB Concordia Britz 1916,BSV Al-Dersimspor,0,3,away
25,FC Internationale Berlin 1980,Berliner SV 1892,1,2,away
25,FSV Berolina Stralau 1901,TSV Rudow Berlin,0,5,away
26,BSV Al-Dersimspor,FC Viktoria 1889 Berlin II,2,3,home
26,BFC Meteor 06,BFC Preussen II,3,0,home
26,FC Internationale Berlin 1980,SV Stern Britz 1889,7,0,home
26,Berliner SV 1892,TSV Rudow Berlin,1,2,home
26,FSV Berolina Stralau 1901,Köpenicker FC,3,1,home
26,VfB Concordia Britz 1916,BSV Eintracht Mahlsdorf II,2,1,home
26,SV Empor Berlin II,SC Borsigwalde 1910,3,0,home
26,Berliner SC II,Türkiyemspor Berlin,2,0,home
26,FC Viktoria 1889 Berlin II,BSV Al-Dersimspor,3,2,away
26,BFC Preussen II,BFC Meteor 06,0,3,away
26,SV Stern Britz 1889,FC Internationale Berlin 1980,0,7,away
26,TSV Rudow Berlin,Berliner SV 1892,2,1,away
26,Köpenicker FC,FSV Berolina Stralau 1901,1,3,away
26,BSV Eintracht Mahlsdorf II,VfB Concordia Britz 1916,1,2,away
26,SC Borsigwalde 1910,SV Empor Berlin II,0,3,away
26,Türkiyemspor Berlin,Berliner SC II,0,2,away
27,Köpenicker FC,BFC Meteor 06,NA,NA,home
27,BSV Eintracht Mahlsdorf II,SV Empor Berlin II,NA,NA,home
27,FSV Berolina Stralau 1901,FC Viktoria 1889 Berlin II,NA,NA,home
27,TSV Rudow Berlin,Berliner SC II,NA,NA,home
27,SV Stern Britz 1889,Berliner SV 1892,NA,NA,home
27,SC Borsigwalde 1910,FC Internationale Berlin 1980,NA,NA,home
27,BFC Preussen II,VfB Concordia Britz 1916,NA,NA,home
