Rank,Team,Name,Nr,Pos,Spiele,Tore
352,Berliner SC II,Oguz Rencber,NA,LM,2,0
353,FSV Berolina Stralau 1901,Emilio Son,7,NA,4,0
354,SV Stern Britz 1889,Nico Hauf,13,IV,16,0
355,FSV Berolina Stralau 1901,Viktor Kreisel,20,NA,1,0
356,SV Empor Berlin II,Simon Albrecht,NA,ZM,1,0
357,SV Stern Britz 1889,Robin Koller,NA,TW,2,0
358,VfB Concordia Britz 1916,Domenic Schäfer,NA,LV,1,0
359,FSV Berolina Stralau 1901,Ian Häberle,22,IV,20,0
360,BSV Al-Dersimspor,Leorant Abduli,23,NA,1,0
361,Türkiyemspor Berlin,Ali Mert Koca,15,ZOM,6,0
362,Türkiyemspor Berlin,Ertugrul Aktas,13,TW,18,0
363,FC Internationale Berlin 1980,Josè Francisco Cunto,NA,NA,1,0
364,BSV Eintracht Mahlsdorf II,Marcus Grund,NA,ZM,4,0
365,SV Empor Berlin II,Philipp Macketanz,15,LV,13,0
366,FC Viktoria 1889 Berlin II,Patrick Büch,NA,NA,0,0
367,FSV Berolina Stralau 1901,Akiyasu Tsuchiya,6,ZM,9,0
368,BSV Eintracht Mahlsdorf II,Fabio Findeisen,NA,ZM,4,0
369,Köpenicker FC,Adrian Thiemann,1,TW,19,0
370,BSV Al-Dersimspor,Can Yildiz,NA,NA,5,0
371,SC Borsigwalde 1910,David Mpembele Nzongo,25,ST,4,0
372,BSV Al-Dersimspor,Achmed El-Noumeiri,NA,NA,5,0
373,VfB Concordia Britz 1916,Leon Ketel,1,TW,13,0
374,VfB Concordia Britz 1916,Merlin Schulz,8,IV,1,0
375,Berliner SC II,Rene Lohmeier,NA,NA,0,0
376,SV Empor Berlin II,Sam Misgayski,22,NA,1,0
377,FSV Berolina Stralau 1901,Pablo Guillen,8,ST,13,0
378,BSV Al-Dersimspor,Onur Kalkan,63,IV,15,0
379,BSV Al-Dersimspor,Baris Güngör,NA,ZM,5,0
380,SV Empor Berlin II,Pascal Bräkow,2,RV,23,0
381,SV Empor Berlin II,Malte Bohn,NA,NA,1,0
382,SV Empor Berlin II,Pjotr Xaver Strelets,NA,LV,3,0
383,FC Internationale Berlin 1980,Amin Malik Chahed,77,NA,8,0
384,Berliner SV 1892,Mario Mikic,14,RV,2,0
385,Berliner SV 1892,Firooz Ahmadi,NA,NA,1,0
386,BSV Al-Dersimspor,Ibrahim Hassan,NA,IV,1,0
387,Berliner SV 1892,Jonathan Maurer,NA,ZM,9,0
388,BSV Al-Dersimspor,Baran Egilmez,NA,NA,1,0
389,SV Stern Britz 1889,Gianfranco Manzari,NA,NA,0,0
390,Türkiyemspor Berlin,Muzaffer Kirimoglu,9,ST,9,0
391,FC Internationale Berlin 1980,Jasper Büll,NA,NA,1,0
392,FSV Berolina Stralau 1901,Ibrahim Diallo,10,RV,11,0
393,TSV Rudow Berlin,Dominik Thonfeld,23,ST,11,0
394,BSV Al-Dersimspor,Safak Höbek,NA,NA,1,0
395,FC Viktoria 1889 Berlin II,Jakob Klautzsch,NA,LV,3,0
396,SV Empor Berlin II,Tilman Schinzel,14,IV,17,0
397,FC Viktoria 1889 Berlin II,Simon Stefanovic,7,LV,20,0
398,Köpenicker FC,Rayk Stahnke,26,ZM,7,0
399,VfB Concordia Britz 1916,Deniz Gassen,10,ZM,8,0
400,BFC Meteor 06,Julius Böke,NA,NA,0,0
401,FC Internationale Berlin 1980,Thomaz Klingl,10,ST,1,0
402,Berliner SV 1892,Soner Gültepe,26,NA,6,0
403,SV Stern Britz 1889,Kevin Schneider,NA,RM,2,0
404,SC Borsigwalde 1910,Cengiz Devecioglu,NA,NA,0,0
405,FSV Berolina Stralau 1901,Lucas Hufnagel,NA,NA,1,0
406,Türkiyemspor Berlin,Oguzhan Codura,10,ST,5,0
407,SC Borsigwalde 1910,Firat Yildirim,15,ZDM,14,0
408,FC Internationale Berlin 1980,Stefan Nicola,NA,NA,0,0
