scorer,team,opponent,minute,score
Schwarz,FSV Berolina Stralau 1901,VfB Concordia Britz 1916,31,0:1
Maiß,FSV Berolina Stralau 1901,VfB Concordia Britz 1916,83,1:2
Wojan,SV Stern Britz 1889,BSV Al-Dersimspor,81,4:1
Mangue,Köpenicker FC,SV Empor Berlin II,19,0:1
Ilinseer,Köpenicker FC,SV Empor Berlin II,68,1:2
Abou-Chaker,BFC Preussen II,TSV Rudow Berlin,21,1:0
Schneidawind,SV Empor Berlin II,FC Internationale Berlin 1980,31,1:1
Drannaschk,SV Empor Berlin II,FC Internationale Berlin 1980,57,2:1
Riese,BFC Meteor 06,Berliner SC II,51,1:0
Saberdest,Köpenicker FC,Türkiyemspor Berlin,41,2:1
