Rank,Team,Name,Nr,Pos,Spiele,Tore
400,SV Empor Berlin II,Sam Misgayski,22,NA,1,0
401,FSV Berolina Stralau 1901,Pablo Guillen,8,ZM,17,0
402,BSV Al-Dersimspor,Onur Kalkan,63,IV,15,0
403,BSV Al-Dersimspor,Baris Güngör,NA,ZM,5,0
404,SV Empor Berlin II,Pascal Bräkow,2,RV,27,0
405,SV Empor Berlin II,Malte Bohn,NA,NA,1,0
406,SV Empor Berlin II,Pjotr Xaver Strelets,NA,LV,3,0
407,FC Internationale Berlin 1980,Amin Malik Chahed,77,NA,8,0
408,Berliner SV 1892,Firooz Ahmadi,NA,NA,1,0
409,BSV Al-Dersimspor,Ibrahim Hassan,NA,IV,3,0
