ID,Name,Team,Spiele,Tore,Assists,Gelbe.Karten,Gelb.Rote.Karten,Rote.Karten,Einwechslung,Auswechslung,Spielzeit,X11.des.Tages,Nummer,playtime_ratio,scorerpoints_ratio,best_player_appearances,best_player_ratio,total_points,matches_played,match_diff,points_per_game,weighted_score,most_position,second_position,position_percentage,second_position_percentage
909894,Bilgehan Hancer,Berlin Hilalspor,1,0,0,0,0,0,0,0,90,0,NA,0.033,NA,0,0,0,1,0,0,NA,ST,NA,100%,0%
909910,Ben Kozak,SC Berliner Amateure,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,1,-1,0,0.25,NA,NA,0%,0%
946138,Ali Mert Koca,DJK Schwarz-Weiß Neukölln,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,0%,0%
946141,Marvin Herter,Sportfreunde Johannisthal,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,0%,0%
946142,Marvin Hilgendorf,Sportfreunde Johannisthal,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,0%,0%
946143,Lukas Olff,Sportfreunde Johannisthal,1,0,2,1,0,0,0,0,90,0,NA,0.033,NA,0,0,3,1,0,3,NA,RV,NA,100%,0%
946151,Mike Rupprecht,DJK Schwarz-Weiß Neukölln,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,0%,0%
946160,Milan Daus,FC Internationale Berlin 1980,1,0,0,0,0,0,0,0,90,0,NA,0.033,NA,0,0,0,0,1,0,NA,NA,NA,0%,0%
953241,Magnus Crone,SC Borsigwalde 1910,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,0%,0%
966999,Zorc Kolfenbach,Pfeffersport,1,0,0,0,0,0,0,0,90,0,NA,0.033,NA,0,0,3,1,0,3,NA,TW,NA,100%,0%
970323,Onur Gezer,Berlin Hilalspor,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,0%,0%
976151,Marc Oliver Schlarmann,SV BW Berolina Mitte 49,1,0,0,0,0,0,0,0,90,0,NA,0.033,NA,0,0,0,1,0,0,NA,RV,NA,100%,0%
978954,Lucas Dziadek,SF Charlottenburg-Wilmersdorf 03,1,0,0,0,0,0,0,0,90,0,NA,0.033,NA,0,0,0,1,0,0,NA,IV,NA,100%,0%
985352,Josè Francisco Cunto,FC Internationale Berlin 1980,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,0%,0%
990217,Tim Paschke,Berliner SV 1892,1,0,0,0,0,0,0,1,76,0,NA,0.028,NA,0,0,0,1,0,0,NA,LM,NA,100%,0%
